127.0.0.1, 2016-10-14 21:13:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2016-10-14 21:14:45, GET, /, HTTP/1.1, 303, 0.003608
127.0.0.1, 2016-10-14 21:14:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.493618
127.0.0.1, 2016-10-14 21:14:51, GET, /PlanIt/, HTTP/1.1, 200, 0.224033
127.0.0.1, 2016-10-18 20:11:49, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2016-10-18 20:11:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.785000
127.0.0.1, 2016-10-18 20:11:53, GET, /admin/default/site, HTTP/1.1, 303, 0.416000
127.0.0.1, 2016-10-18 20:11:53, GET, /admin/default/index, HTTP/1.1, 200, 0.151000
127.0.0.1, 2016-10-18 20:11:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-18 20:11:56, POST, /admin/default/index, HTTP/1.1, 303, 0.045000
127.0.0.1, 2016-10-18 20:11:56, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-10-18 20:11:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.353000
127.0.0.1, 2016-10-18 20:11:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-18 20:11:58, GET, /PlanIt/default/index, HTTP/1.1, 200, 0.467000
127.0.0.1, 2016-10-18 20:11:58, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
